iter	RMSE
816	1797463.74
817	1796980.769
818	1796628.032
819	1796317.88
820	1795929.979
821	1795505.359
822	1795173.113
823	1794898.531
824	1794483.275
825	1794291.589
826	1793930.829
827	1793509.297
828	1793141.391
829	1792742.903
830	1792270.645
831	1791866.261
832	1791507.242
833	1791154.12
834	1790880.264
835	1790509.175
836	1790246.775
837	1789833.978
838	1789457.287
839	1789192.414
840	1788989.593
841	1788666.334
842	1788404.341
843	1788011.402
844	1787533.226
845	1787178.006
846	1786847.541
847	1786752.309
848	1786483.281
849	1786016.645
850	1785716.17
851	1785434.943
852	1785123.334
853	1784891.075
854	1784510.695
855	1784068.694
856	1783497.048
857	1783185.879
858	1782870.036
859	1782558.466
860	1782197.815
861	1781911.464
862	1781516.706
863	1781343.13
864	1781004.03
865	1780715.273
866	1780378.488
867	1779927.886
868	1779568.831
869	1779341.619
870	1779034.897
871	1778691.412
872	1778418.85
873	1778188.773
874	1777724.476
875	1777413.55
876	1777151.116
877	1776741.875
878	1776459.151
879	1775984.826
880	1775756.154
881	1775645.647
882	1775381.861
883	1774813.793
884	1774573.094
885	1774300.937
886	1773902.314
887	1773473.262
888	1773316.781
889	1773105.479
890	1772758.85
891	1772358.03
892	1772144.091
893	1771804.593
894	1771529.407
895	1771173.221
896	1770937.423
897	1770602.998
898	1770289.745
899	1770095.048
900	1769740.606
901	1769346.112
902	1769034.599
903	1768635.708
904	1768333.826
905	1767984.458
906	1767599.232
907	1767267.674
908	1766829.351
909	1766434.562
910	1765998.75
911	1765726.828
912	1765482.763
913	1765226.79
914	1765011.371
915	1764725.148
916	1764386.519
917	1763975.034
918	1763500.159
919	1763130.469
920	1762926.066
921	1762613.283
922	1762047.012
923	1761723.897
924	1761507.199
925	1761238.348
926	1761095.905
927	1760778.412
928	1760393.76
929	1760067.854
930	1759838.449
931	1759542.894
932	1759070.662
933	1758729.855
934	1758486.354
935	1758179.494
936	1758062.491
937	1757834.829
938	1757435.523
939	1757289.41
940	1757072.857
941	1756899.498
942	1756588.73
943	1756341.296
944	1756114.296
945	1755820.134
946	1755509.159
947	1755063.168
948	1754777.45
949	1754598.198
950	1754211.374
951	1753890.845
952	1753615.082
953	1753239.051
954	1753001.665
955	1752791.955
956	1752556.508
957	1752250.957
958	1751971.121
959	1751690.528
960	1751304.784
961	1750942.684
962	1750524.355
963	1750225.526
964	1749894.846
965	1749630.835
966	1749216.881
967	1748969.839
968	1748735.973
